P020190322710168971456,204,1,2017 年末</nt>，公司短期借款余额为 </o>200.00 万元</nn>，主要为当年</o>公司</no>与</o>上海浦东发展银行股份有限公司东莞分行</no>签订的流动资金借款合同所借入的款项，并于</o>2018 年</nn>进行了偿还</o>
P020190322710168971456,207,2,"报告期内</nt>，</o>公司</no>实现的息税折旧摊销前利润分别为</o> 5,098.11 万元</nn>、</o>6,453.93万元</nn>和 </o>9,346.82 万元</nn>，利息保障倍数分别为 </o>2,508.99 倍</nn>、</o>7,760.16 倍</nn>和 </o>317.39倍</nn>，</o>公司</no>实现的利润水平及利息保障倍数维持在较高水平，偿债风险较小</o>"
P020190322710168971456,209,3,报告期内</nt>，</o>公司</no>应收账款周转率分别为 </o>2.66</nn>、</o>2.34</nn> 和 </o>2.80</nn>，略低于行业平均水平，与</o>徕木股份</no>和</o>中航光电</no>较为接近</o>
P020190322710168971456,211,4,报告期初至 2017 年 4 月</nt>，</o>胜蓝科技</no>持有子公司</o>东莞富智达</no> 51%</np>股权</o>
P020190322710168971456,212,5,同时，为抓住</o>新能源汽车行业</nf>的发展良机和满足消费类电子客户的需求，</o>公司</no>分别于</o>2014 年</nt>和 </o>2015 年</nt>开始研发、生产</o>新能源汽车连接器及组件产品</ni>和</o>光学透镜产品</ni>
P020190322710168971456,213,6,"报告期内</nt>，得益于公司市场知名度的提升和优质客户资源的不断积累，</o>公司</no>消费类电子连接器及组件产品</ni>呈现稳步增长的态势，分别实现收入 </o>34,871.68 万元</nn>、</o>37,269.52 万元</nn>和 </o>49,546.52 万元</nn>"
P020190322710168971456,213,7,"A、</o>日本电产</no>作为</o>公司</no>的海外战略客户之一，当年订单持续增加，</o>公司</no>对其实现销售收入 </o>3,612.51 万元</nn>，较上年增加 </o>1,437.75 万元</nn>"
P020190322710168971456,213,8,"B、作为国内连接器相关产品龙头企业，</o>立讯精密</no>也是</o>公司</no>的长期大客户之一，</o>公司</no>当年对其实现销售收入</o> 2,997.20 万元</nn>，较上年增加 </o>1,015.79 万元</nn>"
P020190322710168971456,213,9,"新能源汽车连接器及组件</ni>是</o>公司</no>近年来新投入研发并逐步量产的产品，</o>报告期内</nt>，公司该类产品分别实现收入</o> 4,616.41 万元</nn>、</o>5,340.15 万元</nn>和 </o>8,114.02 万元</nn>，占公司主营业务收入的比重逐年上升</o>"
P020190322710168971456,213,10,"其中，</o>公司</no>对</o>比亚迪的软硬连接等产品</ni>的销售收入增加</o>1,296.60 万元</nn>"
P020190322710168971456,214,11,"报告期内</nt>，公司该项业务分别实现收入 </o>2,018.56 万元</nn>、</o>3,055.27 万元</nn>和 </o>6,328.12 万元</nn>，其中</o>反射式透镜产品</ni>分别实现收入 </o>363.93 万元</nn>、</o>1,972.74 万元</nn>和 </o>5,132.41 万元</nn>"
P020190322710168971456,214,12,"2018 年</nt>，</o>公司</no>透镜产品</ni>进一步取得</o>聚飞光电</no>、</o>兆驰节能</no>、</o>TCL </no>等客户的认可，销售收入大幅增加，对上述三家客户当年分别实现销售收入 </o>1,599.80 万元</nn>、</o>1,397.75 万元</nn>和 </o>1,087.96 万元</nn>"
P020190322710168971456,214,13,2017 年</nt>，由于</o>富士康</no>、</o>京瓷集团</no>等境外客户自身产品结构的调整，其订单有所减少，加之</o>公司</no>对</o>日本电产</no>的部分销售由外销模式转为向其境内子公司直接销售的内销模式，因此当年外销收入金额及占比均有所降低</o>
P020190322710168971456,214,14,2018 年</nt>，</o>公司</no>向</o>富士康</no>新增 </o>Type-C 数据线</ni>等产品的销售，因此当年外销收入金额及占比较 </o>2017年</nn>有所回升</o>
P020190322710168971456,215,15,报告期内</nt>，公司前五大内销客户相对稳定，</o>2017 年</nt>公司</no>对</o>日本电产</no>的部分产品由外销模式转为内销模式导致其内销收入大幅增加</o>
P020190322710168971456,215,16,"2018 年</nt>公司</no>对</o>三诺集团</no>的销售收入大幅增加，当期实现销售收入为 </o>3,707.68 万元</o>"
P020190322710168971456,216,17,报告期内</nt>，</o>发行人</no>主要外销客户基本稳定，与</o>富士康</no>、</o>京瓷集团</no>、</o>日立集团</no>等知名外销客户建立了稳定的合作关系</o>
P020190322710168971456,216,18,2018 年</nt>由于 </o>Type-C 数据线</ni>产品的增加，</o>公司</no>对</o>富士康</no>的销售收入大幅增加</o>
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
P020190322710168971456,,,
