P020180222583534016158,23,1,组织-营业收入,19,"2015 年度、2016 年度、2017 年度，<e1>公司</e1>上半年实现的营业收入分别为 <e2>3,346.92万元</e2>、4,268.88 万元和 8,418.47 万元，分别占当年度营业收入比例为 23.92%、22.05%和 29.78%"
P020180222583534016158,23,1,组织-营业收入,19,"2015 年度、2016 年度、2017 年度，<e1>公司</e1>上半年实现的营业收入分别为3,346.92万元、<e2>4,268.88 万元</e2>和 8,418.47 万元，分别占当年度营业收入比例为 23.92%、22.05%和 29.78%"
P020180222583534016158,23,1,组织-营业收入,19,"2015 年度、2016 年度、2017 年度，<e1>公司</e1>上半年实现的营业收入分别为 3,346.92万元、4,268.88 万元和 <e2>8,418.47 万元</e2>，分别占当年度营业收入比例为 23.92%、22.05%和 29.78%"
P020180222583534016158,23,1,收入-收入占比,7,"2015 年度、2016 年度、2017 年度，公司上半年实现的营业收入分别为 <e1>3,346.92万元</e1>、4,268.88 万元和 8,418.47 万元，分别占当年度营业收入比例为 <e2>23.92%</e2>、22.05%和 29.78%"
P020180222583534016158,23,1,收入-收入占比,7,"2015 年度、2016 年度、2017 年度，公司上半年实现的营业收入分别为 3,346.92万元、<e1>4,268.88 万元</e1>和 8,418.47 万元，分别占当年度营业收入比例为 23.92%、<e2>22.05%</e2>和 29.78%"
P020180222583534016158,23,1,收入-收入占比,7,"2015 年度、2016 年度、2017 年度，公司上半年实现的营业收入分别为 3,346.92万元、4,268.88 万元和 <e1>8,418.47 万元</e1>，分别占当年度营业收入比例为 23.92%、22.05%和 <e2>29.78%</e2>"
P020180222583534016158,23,2,收入-收入占比,7,"下半年实现的营业收入分别为 <e1>10,643.25 万元</e1>、15,087.61 万元和 19,851.97 万元，分别占当年营业收入比例为 <e2>76.08%</e2>、77.95%和 70.22%"
P020180222583534016158,23,2,收入-收入占比,7,"下半年实现的营业收入分别为 10,643.25 万元、<e1>15,087.61 万元</e1>和 19,851.97 万元，分别占当年营业收入比例为 76.08%、<e2>77.95%</e2>和 70.22%"
P020180222583534016158,23,2,收入-收入占比,7,"下半年实现的营业收入分别为 10,643.25 万元、15,087.61 万元和 <e1>19,851.97 万元</e1>，分别占当年营业收入比例为 76.08%、77.95%和 </e2>70.22%</e2>"
P020180222583534016158,25,3,组织-主要产品,29,<e1>公司</e1>自 2007 年介入智能电网监测设备领域，先后研制了<e2>输变电监测设备</e2>、配电及自动化控制设备两大系列产品，在市场上具有一定的影响力
P020180222583534016158,25,3,组织-主要产品,29,<e1>公司</e1>自 2007 年介入智能电网监测设备领域，先后研制了输变电监测设备、<e2>配电及自动化控制设备</e2>两大系列产品，在市场上具有一定的影响力
P020180222583534016158,25,3,应用领域-产品,2,公司自 2007 年介入<e1>智能电网监测设备</e1>领域，先后研制了<e2>输变电监测设备</e2>、配电及自动化控制设备两大系列产品，在市场上具有一定的影响力
P020180222583534016158,25,3,应用领域-产品,2,公司自 2007 年介入<e1>智能电网监测设备</e1>领域，先后研制了输变电监测设备、<e2>配电及自动化控制设备</e2>两大系列产品，在市场上具有一定的影响力
P020180222583534016158,38,4,组织-营业收入,19,报告期内，<e1>公司</e1>主营业务收入分别达到 <e2>1.35 亿元</e2>、1.77 亿元和 2.66 亿元
P020180222583534016158,38,4,组织-营业收入,19,报告期内，<e1>公司</e1>主营业务收入分别达到 1.35 亿元、<e2>1.77 亿元</e2>和 2.66 亿元
